Timestamp,"PARTICIPANT CODE
","PAGE 1, CONSISTENCY [MOST CONSISTENT?]","PAGE 1, CONSISTENCY [LEAST CONSISTENT?]","PAGE 1, FLUENCY [MOST FLUENT?]","PAGE 1, FLUENCY [LEAST FLUENT?]","PAGE 2, CONSISTENCY [MOST CONSISTENT?]","PAGE 2, CONSISTENCY [LEAST CONSISTENT?]","PAGE 2, FLUENCY [MOST FLUENT?]","PAGE 2, FLUENCY [LEAST FLUENT?]","PAGE 3, CONSISTENCY [MOST CONSISTENT?]","PAGE 3, CONSISTENCY [LEAST CONSISTENT?]","PAGE 3, FLUENCY [MOST FLUENT?]","PAGE 3, FLUENCY [LEAST FLUENT?]","PAGE 4, CONSISTENCY [MOST CONSISTENT?]","PAGE 4, CONSISTENCY [LEAST CONSISTENT?]","PAGE 4, FLUENCY [MOST FLUENT?]","PAGE 4, FLUENCY [LEAST FLUENT?]","PAGE 5, CONSISTENCY [MOST CONSISTENT?]","PAGE 5, CONSISTENCY [LEAST CONSISTENT?]","PAGE 5, FLUENCY [MOST FLUENT?]","PAGE 5, FLUENCY [LEAST FLUENT?]","PAGE 6, CONSISTENCY [MOST CONSISTENT?]","PAGE 6, CONSISTENCY [LEAST CONSISTENT?]","PAGE 6, FLUENCY [MOST FLUENT?]","PAGE 6, FLUENCY [LEAST FLUENT?]","PAGE 7, CONSISTENCY [MOST CONSISTENT?]","PAGE 7, CONSISTENCY [LEAST CONSISTENT?]","PAGE 7, FLUENCY [MOST FLUENT?]","PAGE 7, FLUENCY [LEAST FLUENT?]","PAGE 8, CONSISTENCY [MOST CONSISTENT?]","PAGE 8, CONSISTENCY [LEAST CONSISTENT?]","PAGE 8, FLUENCY [MOST FLUENT?]","PAGE 8, FLUENCY [LEAST FLUENT?]","PAGE 9, CONSISTENCY [MOST CONSISTENT?]","PAGE 9, CONSISTENCY [LEAST CONSISTENT?]","PAGE 9, FLUENCY [MOST FLUENT?]","PAGE 9, FLUENCY [LEAST FLUENT?]","PAGE 10, CONSISTENCY [MOST CONSISTENT?]","PAGE 10, CONSISTENCY [LEAST CONSISTENT?]","PAGE 10, FLUENCY [MOST FLUENT?]","PAGE 10, FLUENCY [LEAST FLUENT?]",OPTIONAL COMMENTS
7/31/2022 20:12:04,729,C,B,A,B,C,A,C,A,B,C,B,C,A,B,A,C,C,A,B,A,C,B,C,A,C,B,B,A,A,B,B,A,B,A,C,A,A,C,A,C,
7/31/2022 20:19:53,7ba,A,B,A,B,C,B,A,B,C,B,A,C,A,B,A,B,A,C,A,C,B,A,A,C,A,C,B,C,A,C,B,A,B,A,A,C,A,C,C,B,
7/31/2022 20:32:31,f3e,A,C,A,C,A,C,A,C,C,B,A,C,A,C,A,B,C,A,A,C,A,B,A,B,A,C,C,A,A,B,C,B,B,A,A,B,B,A,A,C,Page 8 was all bad.
7/31/2022 21:16:05,d8a,C,B,C,A,B,C,A,B,B,A,C,B,C,A,A,C,B,C,A,C,C,B,B,A,A,B,B,C,A,B,A,C,C,A,C,A,A,C,C,A,
7/31/2022 21:40:56,92e,C,A,A,B,C,A,C,B,C,A,C,A,B,A,B,C,C,A,B,A,A,B,A,C,A,B,A,C,B,C,C,A,C,A,B,A,C,A,A,B,Very cool project idea and entertaining passages :)
7/31/2022 21:59:48,524,B,C,A,C,A,B,A,B,A,C,A,C,C,A,C,A,A,B,A,C,A,B,B,C,A,B,A,B,B,C,C,B,B,A,C,A,A,C,B,C,
8/1/2022 9:27:19,e47,A,C,C,B,B,A,B,A,B,C,B,C,B,A,C,A,C,B,A,B,A,B,A,C,C,B,A,C,C,B,B,A,B,A,A,B,B,C,C,B,
8/1/2022 9:52:34,e82,B,A,B,C,C,A,B,C,B,C,A,B,A,C,A,B,C,B,C,A,A,C,C,A,A,C,B,C,C,B,B,C,C,B,A,C,C,B,C,A,
8/1/2022 11:31:19,d20,C,B,A,C,A,C,A,B,B,A,C,B,C,B,A,C,C,B,B,A,A,B,A,B,A,B,C,A,B,C,C,A,C,B,C,A,C,A,A,B,"Reading through questions to judge consistency with the fact was surprisingly exhausting!

I also wish the survey submission was embedded with the questions-- I spent a few (unnecessary) minutes sorting out and fixing the transcription errors I made."
8/1/2022 12:09:26,8f5,B,A,C,A,B,C,C,A,A,C,A,B,B,A,B,A,C,A,B,C,C,B,C,B,B,C,C,B,C,B,A,C,A,C,C,B,A,B,B,C,
8/1/2022 12:19:36,1a5,B,A,B,A,B,A,B,C,B,C,B,A,A,B,C,B,C,A,C,B,A,B,A,C,B,A,C,B,A,B,C,B,A,C,A,C,A,C,A,B,
8/1/2022 16:21:10,8c6,C,B,A,B,A,B,B,A,C,B,C,A,A,B,C,B,B,A,A,B,A,B,A,C,B,C,A,B,C,A,B,A,C,A,B,A,C,A,C,B,
8/1/2022 17:44:45,5da,C,B,B,A,A,B,C,B,C,A,C,B,B,C,A,C,B,C,A,B,A,C,A,C,B,A,A,C,A,C,A,B,B,C,A,C,A,B,C,A,
